diagnosis_type	diagnosis_code	diagnosis_description	mapped_icd9	mapped_icd10	map_flag
ICD10-CM	S81.012A	Laceration without foreign body, left knee, initial encounter	8910	S81012A	10000
ICD10-CM	T21.01XA	Burn of unspecified degree of chest wall, initial encounter	94202	T2101XA	10000
ICD10-CM	M16.12	Unilateral primary osteoarthritis, left hip	71515	M1612	10000
ICD10-CM	V43.91XA	Unspecified car occupant injured in collision with sport utility vehicle in traffic accident, initial encounter	E8129	V4391XA	10000
ICD10-CM	S63.639S	Sprain of interphalangeal joint of unspecified finger, sequela	9057	S63639S	10000
ICD10-CM	S54.12XD	Injury of median nerve at forearm level, left arm, subsequent encounter	V5889	S5412XD	10000
ICD10-CM	M65.041	Abscess of tendon sheath, right hand	72789	M65041	10000
ICD10-CM	Q18.8	Other specified congenital malformations of face and neck	74489	Q188	00000
ICD10-CM	T46.4X2A	Poisoning by angiotensin-converting-enzyme inhibitors, intentional self-harm, initial encounter	E9504	T464X2A	10112
ICD10-CM	T83.590A	Infection and inflammatory reaction due to implanted urinary neurostimulation device, initial encounter	99665	T83590A	10000
ICD10-CM	F31.70	Bipolar disorder, currently in remission, most recent episode unspecified	2967	F3170	10000
ICD10-CM	S46.311A	Strain of muscle, fascia and tendon of triceps, right arm, initial encounter	8408	S46311A	10000
ICD10-CM	S00.10XA	Contusion of unspecified eyelid and periocular area, initial encounter	9210	S0010XA	10000
ICD10-CM	M51.47	Schmorl's nodes, lumbosacral region	72232	M5147	10000
ICD10-CM	N81.6	Rectocele	61804	N816	00000
ICD10-CM	N89.3	Dysplasia of vagina, unspecified	6230	N893	10000
ICD10-CM	C69.31	Malignant neoplasm of right choroid	1906	C6931	10000
ICD10-CM	T46.6X5S	Adverse effect of antihyperlipidemic and antiarteriosclerotic drugs, sequela	E9422	T466X5S	10112
ICD10-CM	H50.311	Intermittent monocular esotropia, right eye	37821	H50311	10000
ICD10-CM	M06.84	Other specified rheumatoid arthritis, hand	7140	M06849	10000
ICD10-CM	A36.3	Cutaneous diphtheria	03285	A363	00000
ICD10-CM	S21.352A	Open bite of left front wall of thorax with penetration into thoracic cavity, initial encounter	8629	S21352A	10000
ICD10-CM	S63.257D	Unspecified dislocation of left little finger, subsequent encounter	V5889	S63257D	10000
ICD10-CM	M25.429	Effusion, unspecified elbow	71902	M25429	10000
ICD10-CM	N81.83	Incompetence or weakening of rectovaginal tissue	61882	N8183	00000
ICD10-CM	V46.9XXA	Unspecified car occupant injured in collision with other nonmotor vehicle in traffic accident, initial encounter	E8139	V469XXA	10000
ICD10-CM	L89.101	Pressure ulcer of unspecified part of back, stage 1	70702	L89101	10111
ICD10-CM	M54.16	Radiculopathy, lumbar region	7244	M5416	10000
ICD10-CM	H40.53X2	Glaucoma secondary to other eye disorders, bilateral, moderate stage	36559	H4053X2	10111
ICD10-CM	K12.0	Recurrent oral aphthae	5282	K120	00000
ICD10-CM	H35.50	Unspecified hereditary retinal dystrophy	36270	H3550	00000
ICD10-CM	T85.79XS	Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts, sequela	9093	T8579XS	10000
ICD10-CM	S92.062S	Displaced intraarticular fracture of left calcaneus, sequela	9054	S92062S	10000
ICD10-CM	T38.6X5A	Adverse effect of antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, initial encounter	E9329	T386X5A	10112
ICD10-CM	H05.10	Unspecified chronic inflammatory disorders of orbit	37610	H0510	00000
ICD10-CM	L89.130	Pressure ulcer of right lower back, unstageable	70703	L89130	10111
ICD10-CM	S52.501A	Unspecified fracture of the lower end of right radius, initial encounter for closed fracture	81342	S52501A	10000
ICD10-CM	O09.892	Supervision of other high risk pregnancies, second trimester	V2389	O09892	10000
ICD10-CM	W27.2XXA	Contact with scissors, initial encounter	E9204	W272XXA	10000
ICD10-CM	S52.292S	Other fracture of shaft of left ulna, sequela	9052	S52292S	10000
ICD10-CM	D68.1	Hereditary factor XI deficiency	2862	D681	00000
ICD10-CM	B88.8	Other specified infestations	1348	B888	10000
ICD10-CM	S05.01XS	Injury of conjunctiva and corneal abrasion without foreign body, right eye, sequela	9062	S0501XS	10000
ICD10-CM	L03.31	Cellulitis of trunk	6822	L03319	10000
ICD10-CM	S91.052A	Open bite, left ankle, initial encounter	8910	S91052A	10000
ICD10-CM	M19.91	Primary osteoarthritis, unspecified site	71510	M1991	10000
ICD10-CM	T82.598A	Other mechanical complication of other cardiac and vascular devices and implants, initial encounter	9961	T82598A	10000
ICD10-CM	T83.410A	Breakdown (mechanical) of implanted penile prosthesis, initial encounter	99639	T83410A	10000
ICD10-CM	S36.500D	Unspecified injury of ascending [right] colon, subsequent encounter	V5889	S36500D	10000
ICD10-CM	D69.2	Other nonthrombocytopenic purpura	2872	D692	00000
ICD10-CM	T84.129A	Displacement of internal fixation device of unspecified bone of limb, initial encounter	99649	T84129A	10000
ICD10-CM	S32.511S	Fracture of superior rim of right pubis, sequela	9051	S32511S	10000
ICD10-CM	Y92.833	Campsite as the place of occurrence of the external cause	E8494	Y92833	10000
ICD10-CM	C82.04	Follicular lymphoma grade I, lymph nodes of axilla and upper limb	20204	C8204	10000
ICD10-CM	M85.87	Other specified disorders of bone density and structure, ankle and foot	73390	M85879	10000
ICD10-CM	T83.21XA	Breakdown (mechanical) of graft of urinary organ, initial encounter	99639	T8321XA	10000
ICD10-CM	S80.821D	Blister (nonthermal), right lower leg, subsequent encounter	V5889	S80821D	10000
ICD10-CM	K94.11	Enterostomy hemorrhage	56969	K9411	10000
ICD10-CM	T62.91XA	Toxic effect of unspecified noxious substance eaten as food, accidental (unintentional), initial encounter	E8659	T6291XA	10112
ICD10-CM	Z89.9	Acquired absence of limb, unspecified	V4960	Z899	10000
ICD10-CM	S42.496S	Other nondisplaced fracture of lower end of unspecified humerus, sequela	9052	S42496S	10000
ICD10-CM	S93.114S	Dislocation of interphalangeal joint of right lesser toe(s), sequela	9056	S93114S	10000
ICD10-CM	T80.218A	Other infection due to central venous catheter, initial encounter	99931	T80218A	10000
ICD10-CM	S32.040S	Wedge compression fracture of fourth lumbar vertebra, sequela	9051	S32040S	10000
ICD10-CM	M10.459	Other secondary gout, unspecified hip	27489	M10459	10000
ICD10-CM	H18.732	Descemetocele, left eye	37172	H18732	10000
ICD10-CM	M13.141	Monoarthritis, not elsewhere classified, right hand	71664	M13141	10000
ICD10-CM	S04.42XD	Injury of abducent nerve, left side, subsequent encounter	V5889	S0442XD	10000
ICD10-CM	Z09	Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm	V6709	Z09	10000
ICD10-CM	W61.99XA	Other contact with other birds, initial encounter	E9068	W6199XA	10000
ICD10-CM	M62.82	Rhabdomyolysis	72888	M6282	00000
ICD10-CM	S22.051A	Stable burst fracture of T5-T6 vertebra, initial encounter for closed fracture	8052	S22051A	10000
ICD10-CM	S52.692S	Other fracture of lower end of left ulna, sequela	9052	S52692S	10000
ICD10-CM	C50.212	Malignant neoplasm of upper-inner quadrant of left female breast	1742	C50212	10000
ICD10-CM	S92.911S	Unspecified fracture of right toe(s), sequela	9054	S92911S	10000
ICD10-CM	S16.1XXA	Strain of muscle, fascia and tendon at neck level, initial encounter	8470	S161XXA	10000
ICD10-CM	K22.10	Ulcer of esophagus without bleeding	53020	K2210	00000
ICD10-CM	S32.058D	Other fracture of fifth lumbar vertebra, subsequent encounter for fracture with routine healing	V5417	S32058D	10000
ICD10-CM	O30.099	Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, unspecified trimester	V9109	O30099	10112
ICD10-CM	E13.40	Other specified diabetes mellitus with diabetic neuropathy, unspecified	25060	E1340	10000
ICD10-CM	S50.869A	Insect bite (nonvenomous) of unspecified forearm, initial encounter	9134	S50869A	10000
ICD10-CM	S72.102S	Unspecified trochanteric fracture of left femur, sequela	9053	S72102S	10000
ICD10-CM	S86.992A	Other injury of unspecified muscle(s) and tendon(s) at lower leg level, left leg, initial encounter	9597	S86992A	10000
ICD10-CM	S92.351D	Displaced fracture of fifth metatarsal bone, right foot, subsequent encounter for fracture with routine healing	V5416	S92351D	10000
ICD10-CM	S05.32XD	Ocular laceration without prolapse or loss of intraocular tissue, left eye, subsequent encounter	V5889	S0532XD	10000
ICD10-CM	S42.90XS	Fracture of unspecified shoulder girdle, part unspecified, sequela	9052	S4290XS	10000
ICD10-CM	T56.0X1A	Toxic effect of lead and its compounds, accidental (unintentional), initial encounter	E8660	T560X1A	10112
ICD10-CM	T63.441A	Toxic effect of venom of bees, accidental (unintentional), initial encounter	9895	T63441A	10111
ICD10-CM	S00.402D	Unspecified superficial injury of left ear, subsequent encounter	V5889	S00402D	10000
ICD10-CM	S93.02XD	Subluxation of left ankle joint, subsequent encounter	V5889	S9302XD	10000
ICD10-CM	M14.869	Arthropathies in other specified diseases classified elsewhere, unspecified knee	7138	M14869	10000
ICD10-CM	S33.111A	Dislocation of L1/L2 lumbar vertebra, initial encounter	83920	S33111A	10000
ICD10-CM	O70.2	Third degree perineal laceration during delivery	66424	O7020	10000
ICD10-CM	M80.061P	Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with malunion	73381	M80061P	10000
ICD10-CM	C57.12	Malignant neoplasm of left broad ligament	1833	C5712	10000
ICD10-CM	A07.0	Balantidiasis	0070	A070	00000
ICD10-CM	S60.421A	Blister (nonthermal) of left index finger, initial encounter	9152	S60421A	10000
ICD10-CM	S83.221S	Peripheral tear of medial meniscus, current injury, right knee, sequela	9057	S83221S	10000
ICD10-CM	M86.1	Other acute osteomyelitis	73000	M8610	10000
ICD10-CM	K90.4	Other malabsorption due to intolerance	5798	K9049	10000
ICD10-CM	S60.441S	External constriction of left index finger, sequela	9062	S60441S	10000
ICD10-CM	S73.101A	Unspecified sprain of right hip, initial encounter	8439	S73101A	10000
ICD10-CM	L28.1	Prurigo nodularis	6983	L281	10000
ICD10-CM	H04.531	Neonatal obstruction of right nasolacrimal duct	37555	H04531	10000
ICD10-CM	T56.891A	Toxic effect of other metals, accidental (unintentional), initial encounter	9858	T56891A	10111
ICD10-CM	Z73.3	Stress, not elsewhere classified	V698	Z733	10000
ICD10-CM	M24.032	Loose body in left wrist	71813	M24032	10000
ICD10-CM	S92.245A	Nondisplaced fracture of medial cuneiform of left foot, initial encounter for closed fracture	82524	S92245A	10000
ICD10-CM	C82.86	Other types of follicular lymphoma, intrapelvic lymph nodes	20206	C8286	10000
ICD10-CM	G40.109	Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, without status epilepticus	34580	G40109	10000
ICD10-CM	M05.59	Rheumatoid polyneuropathy with rheumatoid arthritis of multiple sites	7140	M0559	10111
ICD10-CM	S66.891A	Other injury of other specified muscles, fascia and tendons at wrist and hand level, right hand, initial encounter	9593	S66891A	10000
ICD10-CM	S96.811D	Strain of other specified muscles and tendons at ankle and foot level, right foot, subsequent encounter	V5889	S96811D	10000
ICD10-CM	H16.072	Perforated corneal ulcer, left eye	37006	H16072	10000
ICD10-CM	C7A.021	Malignant carcinoid tumor of the cecum	20912	C7A021	00000
ICD10-CM	O46.93	Antepartum hemorrhage, unspecified, third trimester	64193	O4693	10000
ICD10-CM	M21.261	Flexion deformity, right knee	73689	M21261	10000
ICD10-CM	S81.019D	Laceration without foreign body, unspecified knee, subsequent encounter	V5889	S81019D	10000
ICD10-CM	T25.211D	Burn of second degree of right ankle, subsequent encounter	V5889	T25211D	10000
ICD10-CM	H05.013	Cellulitis of bilateral orbits	37601	H05013	10000
ICD10-CM	S68.529A	Partial traumatic transphalangeal amputation of unspecified thumb, initial encounter	8850	S68529A	10000
ICD10-CM	S42.262P	Displaced fracture of lesser tuberosity of left humerus, subsequent encounter for fracture with malunion	73381	S42262P	10000
ICD10-CM	S05.01XA	Injury of conjunctiva and corneal abrasion without foreign body, right eye, initial encounter	9181	S0501XA	10000
ICD10-CM	K02.3	Arrested dental caries	52104	K023	00000
ICD10-CM	S52.531J	Colles' fracture of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing	V5412	S52531J	10000
ICD10-CM	E11.3492	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye	36206	E113492	10112
ICD10-CM	S61.308D	Unspecified open wound of other finger with damage to nail, subsequent encounter	V5889	S61308D	10000
ICD10-CM	T63.441A	Toxic effect of venom of bees, accidental (unintentional), initial encounter	E9053	T63441A	10112
ICD10-CM	S60.841D	External constriction of right wrist, subsequent encounter	V5889	S60841D	10000
ICD10-CM	I05.2	Rheumatic mitral stenosis with insufficiency	3942	I052	00000
ICD10-CM	Q24.8	Other specified congenital malformations of heart	74687	Q248	10000
ICD10-CM	H54.42	Blindness, left eye, normal vision right eye	36902	H5440	10000
ICD10-CM	O30.039	Twin pregnancy, monochorionic/diamniotic, unspecified trimester	65100	O30039	10111
ICD10-CM	S62.661D	Nondisplaced fracture of distal phalanx of left index finger, subsequent encounter for fracture with routine healing	V5412	S62661D	10000
ICD10-CM	L60.0	Ingrowing nail	7030	L600	00000
ICD10-CM	M32.13	Lung involvement in systemic lupus erythematosus	5178	M3213	10112
ICD10-CM	M89.012	Algoneurodystrophy, left shoulder	7337	M89012	10000
ICD10-CM	S90.812A	Abrasion, left foot, initial encounter	9170	S90812A	10000
ICD10-CM	O23.01	Infections of kidney in pregnancy, first trimester	64663	O2301	10000
ICD10-CM	M17.10	Unilateral primary osteoarthritis, unspecified knee	71516	M1710	10000
ICD10-CM	H34.219	Partial retinal artery occlusion, unspecified eye	36233	H34219	10000
ICD10-CM	T23.271D	Burn of second degree of right wrist, subsequent encounter	V5889	T23271D	10000
ICD10-CM	G58.7	Mononeuritis multiplex	3545	G587	00000
ICD10-CM	H20.819	Fuchs' heterochromic cyclitis, unspecified eye	36421	H20819	10000
ICD10-CM	S01.152A	Open bite of left eyelid and periocular area, initial encounter	8702	S01152A	10000
ICD10-CM	M07.622	Enteropathic arthropathies, left elbow	71682	M07622	10111
ICD10-CM	L50.0	Allergic urticaria	7080	L500	00000
ICD10-CM	Y07.59	Other non-family member, perpetrator of maltreatment and neglect	E9684	Y0759	10000
ICD10-CM	T38.0X3S	Poisoning by glucocorticoids and synthetic analogues, assault, sequela	E969	T380X3S	10112
ICD10-CM	Y93.J3	Activity, string instrument playing	E0182	Y93J3	00000
ICD10-CM	S62.315A	Displaced fracture of base of fourth metacarpal bone, left hand, initial encounter for closed fracture	81502	S62315A	10000
ICD10_CA	M75.2	Bicipital tendinitis	72612	M7520	10000
ICD10-CM	D40.11	Neoplasm of uncertain behavior of right testis	2364	D4011	10000
ICD10-CM	S41.159A	Open bite of unspecified upper arm, initial encounter	88003	S41159A	10000
ICD10-CM	M67.879	Other specified disorders of synovium and tendon, unspecified ankle and foot	72789	M67879	10000
ICD10-CM	S46.112D	Strain of muscle, fascia and tendon of long head of biceps, left arm, subsequent encounter	V5889	S46112D	10000
ICD10-CM	O91.112	Abscess of breast associated with pregnancy, second trimester	67511	O91112	10000
ICD10-CM	N30.0	Acute cystitis	5950	N3000	10000
ICD10-CM	T39.2X5A	Adverse effect of pyrazolone derivatives, initial encounter	E9355	T392X5A	10112
ICD10-CM	S92.142G	Displaced dome fracture of left talus, subsequent encounter for fracture with delayed healing	V5416	S92142G	10000
ICD10-CM	B41.0	Pulmonary paracoccidioidomycosis	1161	B410	10000
ICD10-CM	H17.12	Central corneal opacity, left eye	37103	H1712	10000
ICD10-CM	M86.28	Subacute osteomyelitis, other site	73008	M8628	10000
ICD10-CM	L89.523	Pressure ulcer of left ankle, stage 3	70706	L89523	10111
ICD10-CM	S23.41XD	Sprain of ribs, subsequent encounter	V5889	S2341XD	10000
ICD10-CM	H30.103	Unspecified disseminated chorioretinal inflammation, bilateral	36310	H30103	10000
ICD10-CM	S48.911A	Complete traumatic amputation of right shoulder and upper arm, level unspecified, initial encounter	8874	S48911A	10000
ICD10-CM	S52.602G	Unspecified fracture of lower end of left ulna, subsequent encounter for closed fracture with delayed healing	V5412	S52602G	10000
ICD10-CM	W21.07XD	Struck by softball, subsequent encounter	E9170	W2107XD	10000
ICD10-CM	C79.52	Secondary malignant neoplasm of bone marrow	1985	C7952	10000
ICD10-CM	O13.3	Gestational [pregnancy-induced] hypertension without significant proteinuria, third trimester	64234	O133	10000
ICD10-CM	H90.12	Conductive hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side	38901	H9012	10000
